name,admin,fips
Entre Ríos,Argentina,AR08
Paysandú,Uruguay,UY11
Kalimantan Timur,Indonesia,ID14
Sabah,Malaysia,MY16
La Paz,Bolivia,BL04
Oruro,Bolivia,BL05
Tarapacá,Chile,CI13
Potosí,Bolivia,BL07
Antofagasta,Chile,CI03
Tacna,Peru,PE23
Salta,Argentina,AR17
Jujuy,Argentina,AR10
Larnaca,Cyprus,CY03
Ladakh,India,IN42
Xinjiang,China,CH13
Xizang,China,CH14
HaDarom,Israel,IS01
HaZafon,Israel,IS03
Haifa,Israel,IS04
HaMerkaz,Israel,IS02
An Nabatiyah,Lebanon,LE07
South Lebanon,Lebanon,LE06
"Southern Nations, Nationalities and Peoples",Ethiopia,ET54
Eastern Equatoria,S. Sudan,OD02
Somali,Ethiopia,ET52
Nugaal,Somalia,SO18
Mudug,Somalia,SO10
Galguduud,Somalia,SO05
Hiiraan,Somalia,SO07
Bakool,Somalia,SO01
Gedo,Somalia,SO06
Rift Valley,Kenya,KE08
Mbeya,United Republic of Tanzania,TZ09
Njombe,United Republic of Tanzania,TZ30
Ruvuma,United Republic of Tanzania,TZ14
Rumphi,Malawi,MI21
Nkhata Bay,Malawi,MI17
Arunachal Pradesh,India,IN30
Bari,Somalia,SO03
Guyane française,France,FG01
Sipaliwini,Suriname,NS18
Mahaica-Berbice,Guyana,GY15
Gangwon,South Korea,KS06
Kangwŏn-do,North Korea,KN09
Gyeonggi,South Korea,KS13
Hwanghae-bukto,North Korea,KN07
Guelmim - Es-Semara,Morocco,MO03
Laâyoune - Boujdour - Sakia El Hamra,Morocco,MO59
Oued el Dahab,Morocco,WI00
Alajuela,Costa Rica,CS01
Likouala,Republic of the Congo,CF06
Équateur,Democratic Republic of the Congo,CG02
Cuvette,Republic of the Congo,CF13
Plateaux,Republic of the Congo,CF08
Bandundu,Democratic Republic of the Congo,CG01
Pool,Republic of the Congo,CF11
Brazzaville,Republic of the Congo,CF12
Kinshasa City,Democratic Republic of the Congo,CG06
Bas-Congo,Democratic Republic of the Congo,CG08
Bouenza,Republic of the Congo,CF01
Niari,Republic of the Congo,CF07
Tashi Yangtse,Bhutan,BT24
Lhuntshi,Bhutan,BT11
Bumthang,Bhutan,BT05
Chernihiv,Ukraine,UP02
Gomel,Belarus,BO02
Volyn,Ukraine,UP24
Brest,Belarus,BO01
Rivne,Ukraine,UP19
Zhytomyr,Ukraine,UP27
Kiev,Ukraine,UP13
Karas,Namibia,WA31
Northern Cape,South Africa,SF08
Beqaa,Lebanon,LE08
North Lebanon,Lebanon,LE09
Homs (Hims),Syria,SY11
Tartus,Syria,SY14
Rif Dimashq,Syria,SY08
Fujayrah,United Arab Emirates,AE04
Musandam,Oman,MU07
Sharjah,United Arab Emirates,AE06
Ras Al Khaymah,United Arab Emirates,AE05
Likoma,Malawi,MI27
Ferghana,Uzbekistan,UZ03
East Kazakhstan,Kazakhstan,KZ15
Almaty,Kazakhstan,KZ01
Leninabad,Tajikistan,TI03
Vitebsk,Belarus,BO07
Utenos,Lithuania,LH64
Vilniaus,Lithuania,LH65
Grodno,Belarus,BO03
Alytaus,Lithuania,LH56
Rio Grande do Sul,Brazil,BR23
Artigas,Uruguay,UY01
Dornod,Mongolia,MG06
Inner Mongol,China,CH20
Bayan-Ölgiy,Mongolia,MG03
Hovd,Mongolia,MG12
Sühbaatar,Mongolia,MG17
Dornogovi,Mongolia,MG07
Govi-Altay,Mongolia,MG10
Gansu,China,CH15
Bayanhongor,Mongolia,MG02
Ömnögovi,Mongolia,MG14
Gorno-Altay,Russia,RS03
